"","ID","Cod.Lab","Code","Species","Scientific_name","Genus","Family","Point","Site","State","UC","date.sample.havest","latitude","longitude","d15N_wood","N_wood","d13C_wood","C_wood","d13C_cel","C_cel","d18O","Sr","map","mat","vap","d15N_soil","dem","pet","d15N_foliar","isorix","vpd","d13C_foliar","rh","soil_moisture","aet","def","pa"
"1",1,NA,"mad0","Ucuuba Puna","Iryanthera laevis Markgr","Iryanthera","Myristicaceae",0,"São Gabriel da Cachoeira","Amazonas",NA,"set/13",-0.121,-67.013,NA,NA,NA,NA,NA,NA,23.196075,NA,2771,26.0807495117187,2.88313746452331,6.22067356109619,98.4203948974609,1100.802734375,1.25509357452392,-3.92907309532165,0.605555593967437,-29.7600879669189,0.829019784927368,31.6783390045166,1100.85278320312,7.07689046859741,1001.34027099609
"2",2,NA,"mad0","Ucuuba Puna","Iryanthera laevis Markgr","Iryanthera","Myristicaceae",25,"São Gabriel da Cachoeira","Amazonas",NA,"set/13",-0.121,-67.013,NA,NA,NA,NA,NA,NA,23.411125,NA,2771,26.0807495117187,2.88313746452331,6.22067356109619,98.4203948974609,1100.802734375,1.25509357452392,-3.92907309532165,0.605555593967437,-29.7600879669189,0.829019784927368,31.6783390045166,1100.85278320312,7.07689046859741,1001.34027099609
"3",3,NA,"mad0","Ucuuba Puna","Iryanthera laevis Markgr","Iryanthera","Myristicaceae",50,"São Gabriel da Cachoeira","Amazonas",NA,"set/13",-0.121,-67.013,NA,NA,NA,NA,NA,NA,22.883275,NA,2771,26.0807495117187,2.88313746452331,6.22067356109619,98.4203948974609,1100.802734375,1.25509357452392,-3.92907309532165,0.605555593967437,-29.7600879669189,0.829019784927368,31.6783390045166,1100.85278320312,7.07689046859741,1001.34027099609
"4",4,NA,"mad0","Ucuuba Puna","Iryanthera laevis Markgr","Iryanthera","Myristicaceae",75,"São Gabriel da Cachoeira","Amazonas",NA,"set/13",-0.121,-67.013,NA,NA,NA,NA,NA,NA,23.851,NA,2771,26.0807495117187,2.88313746452331,6.22067356109619,98.4203948974609,1100.802734375,1.25509357452392,-3.92907309532165,0.605555593967437,-29.7600879669189,0.829019784927368,31.6783390045166,1100.85278320312,7.07689046859741,1001.34027099609
"5",5,NA,"mad0","Ucuuba Puna","Iryanthera laevis Markgr","Iryanthera","Myristicaceae",100,"São Gabriel da Cachoeira","Amazonas",NA,"set/13",-0.121,-67.013,NA,NA,NA,NA,NA,NA,23.684825,NA,2771,26.0807495117187,2.88313746452331,6.22067356109619,98.4203948974609,1100.802734375,1.25509357452392,-3.92907309532165,0.605555593967437,-29.7600879669189,0.829019784927368,31.6783390045166,1100.85278320312,7.07689046859741,1001.34027099609
"6",6,NA,"mad01","Breu","Protium hebetatum Daly","Protium","Burseraceae",0,"São Gabriel da Cachoeira","Amazonas",NA,"set/13",-0.041,-66.872,NA,NA,NA,NA,NA,NA,26.148125,NA,2681,26.1408958435058,2.88186240196228,6.31088972091674,95.5751724243164,1110.625,1.39353013038635,-3.93943166732788,0.625694453716278,-29.577257156372,0.824373602867126,33.461856842041,1109.98034667968,7.8829665184021,1001.44079589843
"7",7,NA,"mad01","Breu","Protium hebetatum Daly","Protium","Burseraceae",25,"São Gabriel da Cachoeira","Amazonas",NA,"set/13",-0.041,-66.872,NA,NA,NA,NA,NA,NA,25.1804,NA,2681,26.1408958435058,2.88186240196228,6.31088972091674,95.5751724243164,1110.625,1.39353013038635,-3.93943166732788,0.625694453716278,-29.577257156372,0.824373602867126,33.461856842041,1109.98034667968,7.8829665184021,1001.44079589843
"8",8,NA,"mad01","Breu","Protium hebetatum Daly","Protium","Burseraceae",50,"São Gabriel da Cachoeira","Amazonas",NA,"set/13",-0.041,-66.872,NA,NA,NA,NA,NA,NA,25.287925,NA,2681,26.1408958435058,2.88186240196228,6.31088972091674,95.5751724243164,1110.625,1.39353013038635,-3.93943166732788,0.625694453716278,-29.577257156372,0.824373602867126,33.461856842041,1109.98034667968,7.8829665184021,1001.44079589843
"9",9,NA,"mad01","Breu","Protium hebetatum Daly","Protium","Burseraceae",75,"São Gabriel da Cachoeira","Amazonas",NA,"set/13",-0.041,-66.872,NA,NA,NA,NA,NA,NA,26.128575,NA,2681,26.1408958435058,2.88186240196228,6.31088972091674,95.5751724243164,1110.625,1.39353013038635,-3.93943166732788,0.625694453716278,-29.577257156372,0.824373602867126,33.461856842041,1109.98034667968,7.8829665184021,1001.44079589843
"10",10,NA,"mad01","Breu","Protium hebetatum Daly","Protium","Burseraceae",100,"São Gabriel da Cachoeira","Amazonas",NA,"set/13",-0.041,-66.872,NA,NA,NA,NA,NA,NA,25.8842,NA,2681,26.1408958435058,2.88186240196228,6.31088972091674,95.5751724243164,1110.625,1.39353013038635,-3.93943166732788,0.625694453716278,-29.577257156372,0.824373602867126,33.461856842041,1109.98034667968,7.8829665184021,1001.44079589843
